"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info""";;;;;;;;;;;;;;;;;;time 2;time 1;delay; delay2 ;delay 1;   jitter
"73,""1.811836"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=25841 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"74,""1.811956"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=27201 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"75,""1.812233"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=27201 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"76,""1.845846"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=28561 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"77,""1.845957"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=29921 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"78,""1.846224"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=29921 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"79,""1.857859"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=31281 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"80,""1.857971"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=32641 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"81,""1.858248"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=32641 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"82,""1.858542"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=34001 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"83,""1.858589"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=35361 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"84,""1.917872"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=35361 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"85,""1.918053"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=36721 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"86,""1.918111"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=38081 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"87,""1.923767"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=38081 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"88,""1.923926"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=39441 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"89,""1.923977"",""192.168.43.22"",""192.229.232.240"",""TCP"",""54"",""52755  >  80 [ACK] Seq=438 Ack=40801 Win=515 Len=0""";;;;;;;;;;;;;;;;;;;;;;;
"90,""1.924342"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=40801 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"91,""1.939805"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""[TCP Spurious Retransmission] Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"92,""1.939909"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1#1] [TCP ACKed unseen segment] 52748  >  80 [ACK] Seq=1 Ack=1 Win=515 Len=0 SLE=4294956417 SRE=4294957777""";;;;;;;;;;;;;;;;;;;;;;;
"93,""1.955828"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""[TCP Previous segment not captured] 80  >  52755 [ACK] Seq=43521 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"94,""1.955944"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""52755  >  80 [ACK] Seq=438 Ack=42161 Win=515 Len=0 SLE=43521 SRE=44881""";;;;;;;;;;;;;;;;;;;;;;;
"95,""1.956209"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=44881 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"96,""1.956249"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 94#1] 52755  >  80 [ACK] Seq=438 Ack=42161 Win=515 Len=0 SLE=43521 SRE=46241""";;;;;;;;;;;;;;;;;;;;;;;
"97,""1.967766"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=46241 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"98,""1.967881"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 94#2] 52755  >  80 [ACK] Seq=438 Ack=42161 Win=515 Len=0 SLE=43521 SRE=47601""";;;;;;;;;;;;;;;;;;;;;;;
"99,""1.968239"",""192.229.232.240"",""192.168.43.22"",""TCP"",""1414"",""80  >  52755 [ACK] Seq=47601 Ack=438 Win=147 Len=1360 [TCP segment of a reassembled PDU]""";;;;;;;;;;;;;;;;;;;;;;;
"100,""1.968277"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 94#3] 52755  >  80 [ACK] Seq=438 Ack=42161 Win=515 Len=0 SLE=43521 SRE=48961""";;;;;;;;;;;;;;;;;;;;;;;
"101,""1.975901"",""192.229.232.240"",""192.168.43.22"",""HTTP"",""1414"",""[TCP Previous segment not captured] Continuation""";;;;;;;;;;;;;;;;;;;;;;;
"102,""1.976010"",""192.168.43.22"",""192.229.232.240"",""TCP"",""66"",""[TCP Dup ACK 1#2] [TCP ACKed unseen segment] 52748  >  80 [ACK] Seq=1 Ack=1 Win=515 Len=0 SLE=1361 SRE=2721""";;;;;;;;;;;;;;;;;;;;;;;
